unique_id,row_index,llm_call_id,内容简介,采购方名称,中标商名称,采购物品名称,采购数量,中标金额,是否设备采购,pydantic_validated,parsing_method
matched_row_0,0,call_9e5b240186534423,"医院名称：航空总医院,产品名称：小儿热速清口服液,商品名：无,剂型：合剂（含口服液）,规格：10ml,生产企业：吉林一正药业集团有限公司,配送企业：,订购数量：0,批准文号：国药准字Z10900020",,,小儿热速清口服液,0.0,,False,True,pydantic_direct
matched_row_1,1,call_3fffae71aec74632,"医院名称：北京市第六医院,产品名称：阿仑膦酸,商品名：福善美,剂型：素片,规格：70mg,生产企业：意大利Merck Sharp & Dohme Italia SPA(杭州默沙东制药有限公司分装),配送企业：,订购数量：0,批准文号：国药准字J20130085",,,阿仑膦酸,0.0,,False,True,pydantic_direct
matched_row_2,2,call_edd54ab6cdfb41ce,"医院名称：北京丰台医星中西医结合医院,产品名称：雪山金罗汉止痛涂膜剂,商品名：无,剂型：涂膜剂,规格：45ml,生产企业：西藏诺迪康药业股份有限公司,配送企业：,订购数量：0,批准文号：国药准字Z20010095",,,雪山金罗汉止痛涂膜剂,0.0,,False,True,pydantic_direct
matched_row_3,3,call_57e00f2b4f61440b,"医院名称：中国气象局医院,产品名称：玻璃酸,商品名：HYCOSAN,剂型：滴眼剂,规格：10ml:10mg(0.1%),生产企业：德国URSAPHARM Arzneimittel GmbH,配送企业：,订购数量：0,批准文号：H20150150",,,玻璃酸,0.0,,False,True,pydantic_direct
matched_row_4,4,call_8160e745c46d4777,"医院名称：北京市房山区韩村河镇罗家峪村卫生室,产品名称：头孢呋辛,商品名：达力新,剂型：薄膜衣片,规格：0.25g,生产企业：国药集团致君(深圳)制药有限公司,配送企业：,订购数量：0,批准文号：国药准字H20000400",,,头孢呋辛,0.0,,False,True,pydantic_direct
matched_row_5,5,call_85e589e265714e9a,一、招标编号：Q5300000000W20001244 二、项目名称：曲靖市妇幼保健院医疗设备（床旁心电图机等设备）采购项目 三、中标信息 供应商名称：江西捷聚医疗设备有限公司 供应商地址：江西省南昌市进贤县钟陵乡钟陵街98号 中标金额：191.88 供应商名称：云南拓尔科技有限公司 供应商地址：云南省昆明市盘龙区北京路645号小城故事A座4层406号 中标金额：85.798 供应商名称：吉安雅裕优旭医疗器械有限公司 供应商地址：江西省吉安市吉州区友谊西路,,,医疗设备,,2776780.0,True,True,pydantic_direct
matched_row_6,6,call_1720d844099c405b,"医院名称：北京市石景山区杨庄医院（北京市石景山区杨庄社区卫生服务站）,产品名称：金乌骨通胶囊,商品名：无,剂型：胶囊剂,规格：0.5g,生产企业：贵州盛世龙方制药股份有限公司,配送企业：,订购数量：0,批准文号：国药准字Z20043621",,,金乌骨通胶囊,0.0,,False,True,pydantic_direct
matched_row_7,7,call_3f9a9a314be94798,"医院名称：北京市上地医院,产品名称：琥珀酸亚铁,商品名：速力菲,剂型：缓释片,规格：0.2g,生产企业：金陵药业股份有限公司南京金陵制药厂,配送企业：,订购数量：0,批准文号：国药准字H20010307",,,琥珀酸亚铁,0.0,,False,True,pydantic_direct
matched_row_8,8,call_46762badd630435b,"医院名称：北京市大兴区旧宫医院,产品名称：头孢克洛,商品名：无,剂型：胶囊剂,规格：0.5g,生产企业：苏州中化药品工业有限公司,配送企业：,订购数量：0,批准文号：国药准字H20046056",,,头孢克洛,0.0,,False,True,pydantic_direct
matched_row_9,9,call_ce7bfdf69ec04ec4,"医院名称：北京市延庆区四海镇社区卫生服务中心,产品名称：银黄滴丸,商品名：无,剂型：滴丸,规格：每袋装0.7g,生产企业：浙江维康药业股份有限公司,配送企业：,订购数量：0,批准文号：国药准字Z20050702",,,银黄滴丸,0.0,,False,True,pydantic_direct
