selected_order,ts_code,trade_date,total_mv,name,list_date,market_cap_rank_all_sh_sz_a,listing_age_eligible,market_cap_rank,selection_type,total_mv_cny_100m,listing_age_months_min,listing_cutoff_date
1,601398.SH,20260813,270868755.396,工商银行,20061027,2,True,1,top_total_mv,27086.8755396,3,20260513
2,601939.SH,20260813,269448392.945,建设银行,20070925,3,True,2,top_total_mv,26944.839294499998,3,20260513
3,601288.SH,20260813,229588870.2384,农业银行,20100715,4,True,3,top_total_mv,22958.88702384,3,20260513
4,600941.SH,20260813,208435815.6762,中国移动,20220105,5,True,4,top_total_mv,20843.58156762,3,20260513
5,601857.SH,20260813,193270152.5568,中国石油,20071105,6,True,5,top_total_mv,19327.015255680002,3,20260513
6,601988.SH,20260813,191716385.021,中国银行,20060705,7,True,6,top_total_mv,19171.6385021,3,20260513
7,300750.SZ,20260813,183354333.687,宁德时代,20180611,8,True,7,top_total_mv,18335.4333687,3,20260513
8,600519.SH,20260813,169422309.1664,贵州茅台,20010827,9,True,8,top_total_mv,16942.230916639997,3,20260513
9,600938.SH,20260813,155090239.902,中国海油,20220421,10,True,9,top_total_mv,15509.023990200001,3,20260513
10,601138.SH,20260813,129443014.0729,工业富联,20180608,11,True,10,top_total_mv,12944.30140729,3,20260513
11,688981.SH,20260813,110814354.168,中芯国际,20200716,12,True,11,top_total_mv,11081.435416799999,3,20260513
12,300308.SZ,20260813,107737244.8088,中际旭创,20120410,13,True,12,top_total_mv,10773.72448088,3,20260513
13,601628.SH,20260813,105879584.93,中国人寿,20070109,14,True,13,top_total_mv,10587.958493,3,20260513
14,600036.SH,20260813,97777341.3912,招商银行,20020409,15,True,14,top_total_mv,9777.73413912,3,20260513
15,601088.SH,20260813,96170951.6862,中国神华,20071009,16,True,15,top_total_mv,9617.095168619999,3,20260513
16,601318.SH,20260813,95608349.76,中国平安,20070301,17,True,16,top_total_mv,9560.834976,3,20260513
17,601899.SH,20260813,85648691.7266,紫金矿业,20080425,18,True,17,top_total_mv,8564.869172660001,3,20260513
